SubjectID,Gender,Age,BlockType,BlockNumber,TrialNumber,Stimulus,IsTarget,Response,RT,Correct,VAS_Baseline,VAS_PostBlock,Timestamp
PRACTICE001,F,24,0,1,1,V,1,LEFT,0.730769832967781,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,2,D,0,RIGHT,0.459477941971272,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,3,X,0,RIGHT,0.550050008983817,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,4,Q,0,RIGHT,0.523187588958535,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,5,C,0,RIGHT,0.396428195002954,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,6,H,0,RIGHT,0.443766076001339,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,7,N,0,RIGHT,0.835941880010068,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,8,Z,0,RIGHT,0.71460799704073,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,9,Z,0,RIGHT,0.321688359021209,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,10,F,0,RIGHT,0.500934846990276,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,11,Z,0,RIGHT,0.471483389032073,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,12,Z,0,RIGHT,0.251001809025183,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,13,M,0,RIGHT,0.578685774002224,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,14,V,1,LEFT,0.931015053996816,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,15,D,0,,NaN,0,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,16,L,0,RIGHT,0.720953247975558,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,17,V,1,LEFT,0.606340381957125,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,18,T,0,RIGHT,0.335482631984632,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,19,V,1,LEFT,0.615783151006326,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,0,1,20,R,0,RIGHT,0.365217652986757,1,5,13,2025-11-24 11:32:35
PRACTICE001,F,24,1,2,1,S,0,RIGHT,0.444920799985994,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,2,K,0,RIGHT,0.710520836990327,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,3,R,0,RIGHT,0.591917760961223,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,4,F,0,RIGHT,0.685206033987924,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,5,S,0,RIGHT,0.556878139032051,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,6,B,0,RIGHT,0.728645790019073,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,7,H,0,RIGHT,0.699334796983749,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,8,B,0,RIGHT,0.722837848996278,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,9,C,0,RIGHT,0.53840109903831,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,10,C,1,RIGHT,0.699620561033953,0,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,11,R,0,RIGHT,0.52426265203394,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,12,J,0,RIGHT,0.476371302967891,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,13,Z,0,RIGHT,0.601883166003972,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,14,Z,1,LEFT,0.707284461997915,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,15,Z,1,LEFT,0.530284735024907,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,16,Z,1,LEFT,0.572171828011051,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,17,T,0,RIGHT,0.488838069955818,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,18,T,0,LEFT,0.590930309030227,0,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,19,F,0,RIGHT,0.343906930997036,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,1,2,20,M,0,RIGHT,0.616398940968793,1,5,26,2025-11-24 11:33:52
PRACTICE001,F,24,2,3,1,R,0,RIGHT,0.849362245993689,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,2,R,0,RIGHT,0.967865483020432,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,3,F,0,LEFT,0.887347800016869,0,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,4,D,0,RIGHT,1.24909553403268,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,5,M,0,RIGHT,1.07685983198462,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,6,Z,0,RIGHT,0.781802494020667,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,7,M,1,LEFT,0.44853138900362,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,8,P,0,RIGHT,0.726296339998953,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,9,M,1,LEFT,0.99543143901974,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,10,T,0,RIGHT,0.791413436993025,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,11,H,0,RIGHT,0.74580103502376,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,12,N,0,RIGHT,0.851254649984185,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,13,R,0,RIGHT,0.973931739979889,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,14,W,0,RIGHT,1.107284652011,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,15,Z,0,RIGHT,0.939730115002021,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,16,N,0,RIGHT,0.691101140982937,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,17,Z,1,LEFT,0.627366251021158,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,18,D,0,RIGHT,0.544847250974271,1,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,19,Z,1,RIGHT,1.2540901839966,0,5,28,2025-11-24 11:35:11
PRACTICE001,F,24,2,3,20,V,0,RIGHT,1.12715147598647,1,5,28,2025-11-24 11:35:11
