Timestamp,MarkerCode,Description
2025-11-26 01:44:47.369,30,VAS Start: Baseline
2025-11-26 01:44:51.587,31,VAS Submit: Baseline
2025-11-26 01:44:52.102,1,Experiment Start
2025-11-26 01:44:52.105,10,Block Start: 0-back
2025-11-26 01:44:56.200,100,Stimulus: 0-back non-target
2025-11-26 01:44:57.208,211,Response: RIGHT correct
2025-11-26 01:44:59.217,100,Stimulus: 0-back non-target
2025-11-26 01:45:00.396,211,Response: RIGHT correct
2025-11-26 01:45:02.233,100,Stimulus: 0-back non-target
2025-11-26 01:45:02.754,211,Response: RIGHT correct
2025-11-26 01:45:05.250,100,Stimulus: 0-back non-target
2025-11-26 01:45:05.810,211,Response: RIGHT correct
2025-11-26 01:45:08.267,100,Stimulus: 0-back non-target
2025-11-26 01:45:09.003,211,Response: RIGHT correct
2025-11-26 01:45:11.283,100,Stimulus: 0-back non-target
2025-11-26 01:45:12.048,211,Response: RIGHT correct
2025-11-26 01:45:14.300,100,Stimulus: 0-back non-target
2025-11-26 01:45:15.265,211,Response: RIGHT correct
2025-11-26 01:45:17.316,101,Stimulus: 0-back target
2025-11-26 01:45:18.608,201,Response: LEFT correct
2025-11-26 01:45:20.333,100,Stimulus: 0-back non-target
2025-11-26 01:45:21.123,211,Response: RIGHT correct
2025-11-26 01:45:23.350,100,Stimulus: 0-back non-target
2025-11-26 01:45:24.231,211,Response: RIGHT correct
2025-11-26 01:45:26.366,100,Stimulus: 0-back non-target
2025-11-26 01:45:27.229,211,Response: RIGHT correct
2025-11-26 01:45:29.383,100,Stimulus: 0-back non-target
2025-11-26 01:45:30.152,211,Response: RIGHT correct
2025-11-26 01:45:32.399,101,Stimulus: 0-back target
2025-11-26 01:45:33.157,201,Response: LEFT correct
2025-11-26 01:45:35.416,100,Stimulus: 0-back non-target
2025-11-26 01:45:35.863,211,Response: RIGHT correct
2025-11-26 01:45:38.433,100,Stimulus: 0-back non-target
2025-11-26 01:45:38.877,211,Response: RIGHT correct
2025-11-26 01:45:41.449,101,Stimulus: 0-back target
2025-11-26 01:45:42.227,201,Response: LEFT correct
2025-11-26 01:45:44.466,101,Stimulus: 0-back target
2025-11-26 01:45:45.153,201,Response: LEFT correct
2025-11-26 01:45:47.483,100,Stimulus: 0-back non-target
2025-11-26 01:45:49.003,211,Response: RIGHT correct
2025-11-26 01:45:50.499,100,Stimulus: 0-back non-target
2025-11-26 01:45:52.933,211,Response: RIGHT correct
2025-11-26 01:45:53.516,100,Stimulus: 0-back non-target
2025-11-26 01:45:54.294,211,Response: RIGHT correct
2025-11-26 01:45:59.448,40,VAS Start: Post-block 0-back
2025-11-26 01:46:01.070,50,VAS Submit: Post-block 0-back
2025-11-26 01:46:01.585,20,Block End: 0-back
2025-11-26 01:46:01.637,11,Block Start: 1-back
2025-11-26 01:46:05.933,110,Stimulus: 1-back non-target
2025-11-26 01:46:06.942,211,Response: RIGHT correct
2025-11-26 01:46:08.949,110,Stimulus: 1-back non-target
2025-11-26 01:46:10.238,211,Response: RIGHT correct
2025-11-26 01:46:11.966,110,Stimulus: 1-back non-target
2025-11-26 01:46:12.790,211,Response: RIGHT correct
2025-11-26 01:46:14.982,111,Stimulus: 1-back target
2025-11-26 01:46:17.027,201,Response: LEFT correct
2025-11-26 01:46:17.999,110,Stimulus: 1-back non-target
2025-11-26 01:46:18.808,211,Response: RIGHT correct
2025-11-26 01:46:21.016,110,Stimulus: 1-back non-target
2025-11-26 01:46:22.079,211,Response: RIGHT correct
2025-11-26 01:46:24.032,110,Stimulus: 1-back non-target
2025-11-26 01:46:25.101,200,Response: LEFT incorrect
2025-11-26 01:46:27.049,110,Stimulus: 1-back non-target
2025-11-26 01:46:27.528,211,Response: RIGHT correct
2025-11-26 01:46:30.066,110,Stimulus: 1-back non-target
2025-11-26 01:46:30.616,211,Response: RIGHT correct
2025-11-26 01:46:33.082,111,Stimulus: 1-back target
2025-11-26 01:46:34.044,201,Response: LEFT correct
2025-11-26 01:46:36.099,110,Stimulus: 1-back non-target
2025-11-26 01:46:36.890,211,Response: RIGHT correct
2025-11-26 01:46:39.116,110,Stimulus: 1-back non-target
2025-11-26 01:46:40.383,211,Response: RIGHT correct
2025-11-26 01:46:42.132,110,Stimulus: 1-back non-target
2025-11-26 01:46:43.213,211,Response: RIGHT correct
2025-11-26 01:46:45.149,110,Stimulus: 1-back non-target
2025-11-26 01:46:45.816,211,Response: RIGHT correct
2025-11-26 01:46:48.166,110,Stimulus: 1-back non-target
2025-11-26 01:46:48.703,211,Response: RIGHT correct
2025-11-26 01:46:51.182,110,Stimulus: 1-back non-target
2025-11-26 01:46:51.887,211,Response: RIGHT correct
2025-11-26 01:46:54.199,110,Stimulus: 1-back non-target
2025-11-26 01:46:54.893,211,Response: RIGHT correct
2025-11-26 01:46:57.215,110,Stimulus: 1-back non-target
